0,1.000000
1,0.478478
2,0.156324
3,0.073752
4,0.041005
5,0.017706
6,-0.012371
7,-0.000720
8,-0.017579
9,0.000327
10,-0.013577
11,-0.055230
12,-0.074923
13,-0.027228
14,0.027233
15,0.039555
16,-0.007881
17,-0.033209
18,0.023130
19,0.030844
20,0.009259
21,-0.016121
22,0.012505
23,0.087738
24,0.088317
25,0.098768
26,0.038251
27,0.066721
28,0.131456
29,0.124733
30,0.030453
31,-0.012083
32,0.102302
33,0.164898
34,0.137167
35,0.063841
36,0.031110
37,0.012509
38,0.020383
39,0.008491
40,-0.007559
41,0.008273
42,0.022748
43,0.047849
44,0.024021
45,0.060556
46,0.092159
47,0.084782
48,0.059311
49,-0.005671
50,-0.002483
51,-0.014917
52,0.033015
53,0.008015
54,0.004747
55,-0.001522
56,0.002398
57,0.074433
58,0.053882
59,0.041877
60,0.049147
61,0.106498
62,0.160023
63,0.104487
64,0.030615
65,-0.007303
66,-0.021157
67,-0.021420
68,0.005900
69,-0.002362
70,0.013730
71,0.067968
72,0.110271
73,0.066876
74,0.079082
75,0.058637
76,0.034655
77,0.012889
78,0.002195
79,0.036331
80,0.050859
81,-0.007738
82,-0.029240
83,-0.040066
84,-0.026848
85,0.012453
86,0.042940
87,0.088789
88,0.077296
89,0.109458
90,0.148912
91,0.125761
92,0.025516
93,-0.042932
94,-0.007624
95,0.041329